#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
68;J0057-7201;00:57:44.0;-72:01:19;302.244;-45.098;0.738062;1.354899;27.00;*;*;
69;J0058+4950;00:58:09.9;+49:50:26.0;124.045;-13.017;0.996023;1.003992;66.90;*;*;
70;J0058+6125;00:58;+61:25;123.717;-1.445;0.637000;1.569859;128.30;*;*;
71;J0058-7218;00:58:16.7;-72:18:06;302.199;-44.817;0.021766;45.942987;*;*;EXGAL:SMC,XRS:PWN_IKT_16[met+21],SNR:IKT;
72;J0059+69;00:59:30;+69:55;123.629;7.056;1.145900;0.872676;63.53;*;*;
73;J0100+8023;01:00:16.0;+80:23:41.7;123.318;17.530;1.493601;0.669523;56.01;*;*;
74;J0100-7211;01:00:43.0;-72:11:33.6;301.930;-44.918;8.020392;0.124682;*;*;EXGAL:SMC,XRS:CXOU_J010043.1-721134,SNR:;
75;J0101-6422;01:01:11.1;-64:22:30.1;301.192;-52.720;0.002573;388.628426;11.92;BT;GRS:4FGL_J0101.1-6422[aab+22],XRS:[pb15];
76;J0102+4839;01:02:50.6;+48:39:42.7;124.874;-14.167;0.002964;337.369120;53.50;BT;GRS:4FGL_J0102.8+4839[aab+22],GRS:3FGL_J;
77;J0102+6537;01:02:32.9;+65:37:13.4;124.080;2.773;1.679164;0.595534;65.85;*;*;
78;J0103+54;01:03:37;+54:02;124.741;-8.796;0.354304;2.822435;54.80;*;*;
79;J0104+64;01:04;+64;124.308;1.162;1.386000;0.721501;44.60;*;*;
80;J0105-7208;01:05:38.5;-72:08:53.4;301.395;-44.938;0.306737;3.260121;120.40;*;EXGAL:SMC;
81;J0106+4855;01:06:25.0;+48:55:51.8;125.465;-13.867;0.083157;12.025402;70.90;*;GRS:4FGL_J0106.4+4855[aab+22];
82;J0107+1322;01:07:39.9;+13:22:31.7;128.991;-49.305;1.197383;0.835155;21.67;*;*;
83;J0108+6608;01:08:22.5;+66:08:34.4;124.646;3.328;1.283660;0.779023;30.55;*;*;
84;J0108+6905;01:08:29.5;+69:05:52.6;124.461;6.277;1.071118;0.933604;61.06;*;*;
