#Catalogue Version: 2.6.3
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;F0;DM;BINARY;ASSOC;
;;(hms);(dms);(deg);(deg);(s);(Hz);(cm^-3pc);(type);;
2408;J1825-1446;18:25:02.9;-14:46:55.2;16.805;-1.001;0.279206;3.581581;352.23;*;*;
2409;J1825-31;18:25:58;-31:02:20;2.400;-8.658;2.382000;0.419815;93.30;*;*;
2410;J1825-33;18:26:02;-33:21;0.309;-9.697;1.271200;0.786658;43.00;*;*;
2411;J1826-0049;18:26:16.5;-00:49:50.0;29.313;5.215;0.004591;217.824873;42.67;ELL1;*;
2412;J1826-0133_P;18:26:05;-01:32;28.664;4.935;0.363250;2.752925;103.80;*;*;
2413;J1826-1131;18:26:05.4;-11:31:43.6;19.800;0.293;2.093141;0.477751;319.58;*;*;
2414;J1826-1256;18:26:08.5;-12:56:33.0;18.556;-0.377;0.110239;9.071229;*;*;GRS:4FGL_J1826.1-1256[aab+22],XRS:AXJ182;
2415;J1826-1334;18:26:13.0;-13:34:41.4;18.002;-0.690;0.101520;9.850261;231.48;*;GRS:J1825-137[aab+06],XRS:G18.0-0.7[gsk+;
2416;J1826-1419;18:26:42.3;-14:19:21.6;17.398;-1.142;0.770620;1.297656;160.00;*;*;
2417;J1826-1526;18:26:12.6;-15:26:03;16.358;-1.553;0.382073;2.617302;530.00;*;*;
2418;J1826-2415;18:26:36.0;-24:15:54.5;8.553;-5.718;0.004696;212.958203;81.86;*;*;
2419;J1827-0125_P;18:27:35;-01:25;28.941;4.656;0.337955;2.958974;98.00;*;*;
2420;J1827-0216_P;18:27:42;-02:16;28.198;4.239;0.285479;3.502885;186.60;*;*;
2421;J1827-0750;18:27:02.7;-07:50:17.7;23.176;1.804;0.270503;3.696818;374.99;*;*;
2422;J1827-0849;18:27:36.4;-08:49:42;22.364;1.221;0.002242;445.936892;*;*;GRS:4FGL_J1827.6-0849[aab+22];
2423;J1827-0934;18:27:45.8;-09:34:16.4;21.724;0.841;0.512548;1.951037;259.20;*;*;
2424;J1827-0958;18:27:05.4;-09:58:43.2;21.286;0.798;0.245757;4.069058;430.00;*;*;
2425;J1827-1446;18:27:24.6;-14:46:28;17.077;-1.503;0.499187;2.003259;*;*;GRS:4FGL_J1827.4-1445[aab+22];
2426;J1828+0021_P;18:28:21;+00:20;30.591;5.288;0.002940;340.136054;40.40;*;*;
2427;J1828+0157_P;18:28:25;+01:57;32.044;6.011;1.903970;0.525218;32.10;*;*;
2428;J1828+0218_P;18:28:55;+02:18;32.414;6.059;0.002971;336.587008;140.80;*;*;
2429;J1828+0625;18:28:28.9;+06:25:09.7;36.069;8.014;0.003628;275.667196;22.42;DD;*;
2430;J1828+1221;18:28:22.1;+12:21:20.9;41.457;10.657;1.528295;0.654324;69.10;*;*;
2431;J1828+1359;18:28:53.3;+13:59:35.3;43.017;11.250;0.741640;1.348364;56.00;*;*;
2432;J1828-0003;18:28:44;-00:03;30.292;5.027;3.807116;0.262666;192.60;*;*;
2433;J1828-0038_P;18:28:15;-00:38;29.716;4.867;2.425530;0.412281;70.20;*;*;
2434;J1828-0611;18:28:20.7;-06:11:51.9;24.780;2.279;0.269416;3.711737;363.20;*;*;
2435;J1828-1007;18:28:30.3;-10:07:10.1;21.324;0.424;0.153197;6.527544;302.60;*;*;
2436;J1828-1057;18:28:33.2;-10:57:26.9;20.587;0.024;0.246333;4.059541;249.00;*;*;
2437;J1828-1101;18:28:18.8;-11:01:50.9;20.495;0.043;0.072062;13.876998;606.20;*;GRS:4FGL_J1828.4-1059[aab+22];
2438;J1828-1336;18:28:42.8;-13:36:45;18.254;-1.243;0.860332;1.162342;494.70;*;*;
2439;J1828-2119;18:28:21.5;-21:19:56;11.358;-4.734;0.514523;1.943547;268.00;*;*;
2440;J1829+0000;18:29:47.1;+00:00:08.5;30.460;4.817;0.199147;5.021406;116.80;*;*;
2441;J1829+2456;18:29:34.6;+24:56:18.1;53.343;15.612;0.041010;24.384297;13.70;BT;*;
2442;J1829+25;18:29;+25;53.348;15.757;2.857000;0.350018;74.00;*;*;
2443;J1829-0115_P;18:29:44;-01:16;29.322;4.247;1.653198;0.604888;189.90;*;*;
2444;J1829-0235_P;18:29:35;-02:35;28.133;3.675;0.007428;134.625740;103.30;*;*;
2445;J1829-0734;18:29:05.3;-07:34:20.1;23.647;1.479;0.318404;3.140664;317.66;*;*;
2446;J1829-1011;18:29:06.0;-10:11:25;21.329;0.262;0.829166;1.206031;610.00;*;*;
2447;J1829-1751;18:29:43.1;-17:51:03.9;14.604;-3.418;0.307138;3.255870;217.11;*;*;
2448;J1830-0052;18:30:30.7;-00:52:54.0;29.755;4.251;0.345698;2.892698;220.40;*;*;
2449;J1830-0106_P;18:30:07;-01:06;29.515;4.239;0.001758;568.828214;149.40;*;*;
2450;J1830-0131;18:30:19.6;-01:31:47.7;29.156;3.995;0.457539;2.185605;97.54;*;*;
2451;J1830-0156_P;18:30:40;-01:56;28.836;3.734;0.007524;132.908028;242.30;*;*;
2452;J1830-0207_P;18:30:40;-02:06;28.688;3.657;1.055340;0.947562;221.90;*;*;
2453;J1830-0231_P;18:30:20;-02:31;28.279;3.540;9.999990;0.100000;150.70;*;*;
2454;J1830-09;18:30:36;-9:08;22.437;0.424;0.695490;1.437835;309.00;*;*;
2455;J1830-10;18:30:06;-10:39;21.036;-0.169;0.245260;4.077306;203.00;*;*;
2456;J1830-1059;18:30:47.4;-10:59:16.5;20.815;-0.476;0.405094;2.468563;159.70;*;*;
2457;J1830-1135;18:30:01.7;-11:35:32;20.193;-0.590;6.221553;0.160732;257.00;*;*;
2458;J1830-1313;18:30:41.9;-13:13:16.2;18.824;-1.490;0.747188;1.338352;537.00;*;*;
2459;J1830-14;18:30:06;-14:34;17.563;-1.983;0.399848;2.500948;297.00;*;*;
2460;J1830-1414;18:30:00.3;-14:14:37;17.839;-1.813;0.771493;1.296189;393.60;*;*;
2461;J1831+0101_P;18:31:38;+01:01;31.577;4.870;0.182276;5.486186;173.00;*;*;
2462;J1831+0204_P;18:31:19;+02:04;32.479;5.418;0.002079;481.000481;115.20;*;*;
2463;J1831+0222_P;18:31:45;+02:22;32.797;5.458;2.315138;0.431940;160.00;*;*;
2464;J1831+0304_P;18:31:23;+03:04;33.382;5.858;0.837119;1.194573;158.90;*;*;
2465;J1831-04;18:31:00;-04:29;26.607;2.486;1.065578;0.938458;216.00;*;*;
2466;J1831-0823;18:31:36.3;-08:23:23.3;23.211;0.548;0.612133;1.633631;246.38;*;*;
2467;J1831-0941;18:31:25.1;-09:41:53.2;22.030;-0.016;0.300872;3.323676;370.10;*;SNR:G22.0+0.0[tsc+24],PWN:G22.045-0.028[;
2468;J1831-0952;18:31:34.3;-09:52:01.7;21.897;-0.128;0.067267;14.866165;247.00;*;GRS:4FGL_J1830.8-0947[aab+22];
2469;J1831-1223;18:31:12.8;-12:23:31;19.618;-1.217;2.857941;0.349902;342.00;*;*;
2470;J1831-1329;18:31:55.9;-13:29:56;18.716;-1.884;2.165679;0.461749;338.00;*;*;
2471;J1831-1423;18:31:29.1;-14:23:46;17.870;-2.201;0.507945;1.968716;352.00;*;*;
2472;J1832+0029;18:32:50.7;+00:29:27;31.247;4.360;0.533918;1.872948;32.70;*;*;
2473;J1832+0113_P;18:32:49;+01:13;31.891;4.698;0.006345;157.604413;81.80;*;*;
2474;J1832+0203_P;18:32:54;+02:04;32.660;5.066;1.212794;0.824542;226.40;*;*;
2475;J1832+27;18:32:10;+27:58;56.479;16.252;0.631800;1.582779;48.00;*;*;
2476;J1832-0644;18:32:42.6;-06:44:00.5;24.807;1.070;0.744321;1.343507;572.78;*;*;
2477;J1832-0827;18:32:37.0;-08:27:04.0;23.272;0.298;0.647348;1.544765;301.24;*;*;
2478;J1832-0836;18:32:27.5;-08:36:55.1;23.109;0.256;0.002719;367.767121;28.19;*;XRS:[pb15];
2479;J1832-1021;18:32:40.8;-10:21:32.7;21.587;-0.597;0.330354;3.027055;474.14;*;*;
2480;J1832-28;18:32:30;-28:43;5.142;-8.897;0.199300;5.017561;127.00;*;*;
2481;J1833+0050_P;18:33:56;+00:50;31.677;4.274;0.903698;1.106564;190.90;*;*;
2482;J1833-0046_P;18:33:53;-00:46;30.244;3.554;0.002954;338.524035;81.40;*;*;
2483;J1833-0204_P;18:33:26;-02:04;29.035;3.059;0.004430;225.733634;312.10;*;*;
2484;J1833-0209;18:33:05.4;-02:09:16.4;28.918;3.094;0.291931;3.425471;326.10;*;*;
2485;J1833-0338;18:33:41.8;-03:39:04.3;27.657;2.272;0.686739;1.456157;234.36;*;*;
2486;J1833-05;18:33:12;-05:13;26.209;1.662;0.744883;1.342493;380.00;*;*;
2487;J1833-0556;18:33:38.8;-05:56:05;25.623;1.232;1.521545;0.657227;461.00;*;*;
2488;J1833-0559;18:33:07.6;-05:59:25;25.514;1.321;0.483459;2.068428;346.70;*;*;
2489;J1833-0827;18:33:40.2;-08:27:32.0;23.385;0.063;0.085291;11.724522;409.83;*;XRS:PWN[eit+11];
2490;J1833-0831;18:33:44.3;-08:31:07.7;23.340;0.020;7.565408;0.132181;*;*;XRS:SGR_1833-0832;
2491;J1833-1034;18:33:33.5;-10:34:07.5;21.501;-0.885;0.061884;16.159357;169.50;*;GRS:4FGL_J1833.5-1033[aab+22],SNR:G21.5-;
2492;J1833-1055;18:33:58.4;-10:55:31;21.231;-1.140;0.633640;1.578182;543.00;*;*;
2493;J1833-3840;18:33:04.6;-38:40:46;356.011;-13.260;0.001866;535.886377;78.66;ELL1;GRS:4FGL_J1833.0-3840[aab+22];
2494;J1833-6023;18:33:14.8;-60:23:04;334.827;-21.195;1.889436;0.529259;35.00;*;*;
2495;J1834+0143_P;18:34:30;+01:43;32.530;4.551;0.004639;215.563699;201.80;*;*;
2496;J1834+0148_P;18:34:42;+01:48;32.627;4.544;0.161979;6.173640;179.40;*;*;
2497;J1834+0248_P;18:34:14;+02:48;33.468;5.103;0.375563;2.662669;86.50;*;*;
2498;J1834+10;18:34:27;+10:44;40.638;8.608;1.172719;0.852719;78.48;*;*;
2499;J1834-0010;18:34:17.2;-00:10:53.3;30.812;3.732;0.520954;1.919554;88.65;ELL1;*;
2500;J1834-0031;18:34:51.0;-00:31:34.3;30.570;3.449;0.329532;3.034607;155.10;*;*;
2501;J1834-0426;18:34:25.6;-04:26:15.8;27.042;1.749;0.290108;3.446989;79.68;*;*;
2502;J1834-0602;18:34:37.9;-06:02:35;25.640;0.965;0.487914;2.049543;445.00;*;*;
2503;J1834-0633;18:34:29.2;-06:33:01.1;25.173;0.763;0.317315;3.151444;707.00;*;*;
2504;J1834-0731;18:34:15.9;-07:31:05.9;24.288;0.366;0.512995;1.949336;288.30;*;*;
2505;J1834-0742;18:34:31.2;-07:42:18.9;24.151;0.224;0.788374;1.268434;537.30;*;*;
2506;J1834-0812;18:34:29.8;-08:12:00;23.709;0.001;0.491142;2.036073;1020.00;*;*;
2507;J1834-0845;18:34:52.1;-08:45:56.0;23.250;-0.341;2.482302;0.402852;*;*;XRS:CXOU_J183452.1-084556,SNR:W41(?),GRS;
2508;J1834-09;18:34:36;-09:15;22.789;-0.505;0.512327;1.951877;529.00;*;*;
2509;J1834-1202;18:34:23.0;-12:02:24.9;20.287;-1.743;0.610259;1.638649;342.84;*;*;
2510;J1834-1710;18:34:53.4;-17:10:50;15.768;-4.206;0.358306;2.790910;123.80;*;*;
2511;J1834-1855;18:34:45.9;-18:55:59;14.189;-4.977;1.465656;0.682288;185.20;*;*;
2512;J1835+0005_P;18:35:39;+00:05;31.204;3.550;0.026541;37.677555;116.30;*;*;
2513;J1835+0114_P;18:35:19;+01:14;32.192;4.149;2.199762;0.454595;229.70;*;*;
2514;J1835+0158_P;18:35:22;+01:58;32.852;4.472;0.003320;301.204819;181.50;*;*;
2515;J1835+0301_P;18:35:20;+03:01;33.787;4.956;2.298893;0.434992;212.30;*;*;
2516;J1835-0011_P;18:35:46;-00:11;30.980;3.402;0.003230;309.597523;36.20;*;*;
2517;J1835-0112_P;18:35:08;-01:13;29.987;3.071;0.599630;1.667695;316.70;*;*;
2518;J1835-0114;18:35:21.9;-01:14:33.6;29.990;3.007;0.005116;195.450398;98.20;BT;*;
2519;J1835-0149_P;18:35:19;-01:49;29.474;2.755;1.277612;0.782710;102.30;*;*;
2520;J1835-0349;18:35:12.9;-03:49:09.9;27.681;1.858;0.841865;1.187840;269.60;*;*;
2521;J1835-0522;18:35:08.1;-05:22:08;26.296;1.164;1.087749;0.919330;456.00;*;*;
2522;J1835-0600;18:35:20.2;-06:00:00;25.758;0.829;2.221787;0.450088;780.00;*;*;
2523;J1835-0643;18:35:05.5;-06:43:06.4;25.093;0.552;0.305830;3.269789;464.80;*;*;
2524;J1835-0847;18:35:45.7;-08:47:20;23.331;-0.548;0.846494;1.181343;850.00;*;*;
2525;J1835-09;18:34:36;-9:15;22.789;-0.505;0.750462;1.332513;555.00;*;*;
2526;J1835-0924;18:35:38.0;-09:24:27;22.767;-0.804;0.859192;1.163884;471.00;*;*;
2527;J1835-09242;18:35:21.8;-09:24:15.9;22.739;-0.744;0.235249;4.250816;500.00;*;*;
2528;J1835-0928;18:35:22.2;-09:28:02;22.684;-0.774;0.621734;1.608405;450.00;*;*;
2529;J1835-0944;18:35:46.6;-09:44:27.2;22.487;-0.989;0.145347;6.880069;276.20;*;*;
2530;J1835-0946;18:35:44.8;-09:46:38;22.451;-0.999;0.379536;2.634795;193.30;*;*;
2531;J1835-1020;18:35:57.6;-10:20:04.0;21.980;-1.302;0.302452;3.306308;115.67;*;*;
2532;J1835-1106;18:35:18.2;-11:06:15.1;21.222;-1.512;0.165925;6.026830;132.81;*;*;
2533;J1835-1115_P;18:35:41;-11:15;21.136;-1.662;0.048962;20.424002;204.50;*;*;
2534;J1835-1548;18:35:50.3;-15:48:38;17.094;-3.784;0.670486;1.491456;327.00;*;*;
2535;J1835-3259A;18:35:44;-32:59:25;1.532;-11.371;0.003889;257.135510;63.35;*;GC:NGC6652[drr11];
2536;J1835-3259B;18:35:45.4;-32:59:25.4;1.534;-11.376;0.001830;546.360586;63.51;ELL1;GC:NGC6652[grf+22];
2537;J1836+0014_P;18:36:54;+00:14;31.481;3.341;0.530463;1.885146;121.10;*;*;
2538;J1836+0015_P;18:36:07;+00:15;31.406;3.523;0.629518;1.588517;219.80;*;*;
2539;J1836+0117_P;18:36:11;+01:17;32.335;3.979;0.003812;262.329486;178.00;*;*;
2540;J1836+0352_P;18:36:06;+03:52;34.635;5.171;0.449101;2.226671;185.10;*;*;
2541;J1836+0915;18:36:18.9;+09:15:37.6;39.509;7.544;0.541178;1.847822;36.30;*;*;
2542;J1836+51;18:36;+51;79.890;23.083;0.692000;1.445087;44.40;*;*;
2543;J1836+5925;18:36:13.6;+59:25:30.1;88.875;24.999;0.173264;5.771545;*;*;GRS:4FGL_J1836.2+5925[aab+22],XRS:RX_J18;
2544;J1836-0011_P;18:36:09;-00:11;31.024;3.317;0.939524;1.064369;235.70;*;*;
2545;J1836-0101_P;18:36:58;-01:00;30.390;2.762;0.258516;3.868233;326.50;*;*;
2546;J1836-0150_P;18:36:05;-01:50;29.547;2.577;0.005458;183.217296;199.40;*;*;
2547;J1836-0431_P;18:36:40;-04:31;27.228;1.217;3.032513;0.329760;645.00;*;*;
2548;J1836-0436;18:36:51.7;-04:36:37.6;27.167;1.130;0.354238;2.822961;231.50;*;*;
2549;J1836-0517;18:36:25.2;-05:17:35;26.510;0.915;0.457245;2.187011;564.00;*;*;
2550;J1836-1008;18:36:53.9;-10:08:08.3;22.263;-1.415;0.562721;1.777078;316.22;*;*;
2551;J1836-11;18:36:06;-11:17;21.153;-1.768;0.496193;2.015344;326.00;*;*;
2552;J1836-1324;18:36:52.2;-13:24:33.6;19.348;-2.910;0.178756;5.594207;157.33;*;*;
2553;J1836-2354A;18:36:25.4;-23:54:52.3;9.886;-7.561;0.003354;298.121588;89.11;BT;GC:M22(NGC6656);
2554;J1836-2354B;18:36:24.3;-23:54:28.7;9.890;-7.554;0.003232;309.379715;93.30;*;GC:M22(NGC6656);
2555;J1837+0033;18:37:41.1;+00:33:46.1;31.864;3.316;0.418131;2.391594;187.40;*;*;
2556;J1837+0053;18:37:28.4;+00:53:13;32.129;3.511;0.473513;2.111877;122.50;*;*;
2557;J1837+0250_P;18:37:49;+02:50;33.905;4.321;0.094660;10.564124;101.00;*;*;
2558;J1837+03;18:37:00;+03:00;33.961;4.578;0.010700;93.457944;115.70;*;*;
2559;J1837+0420_P;18:37:38;+04:20;35.226;5.041;1.009480;0.990609;173.40;*;*;
2560;J1837+0528_P;18:37:32;+05:29;36.245;5.583;0.006260;159.744409;120.80;*;*;
2561;J1837+10;18:37:00;+10:46;40.947;8.061;1.707000;0.585823;54.00;*;*;
2562;J1837+1221;18:37:07.1;+12:21:54.7;42.411;8.739;1.963536;0.509285;100.60;*;*;
2563;J1837-0045;18:37:32.1;-00:45:10.6;30.675;2.749;0.617038;1.620646;86.98;*;*;
2564;J1837-0048_P;18:37:35;-00:48;30.639;2.717;0.002730;366.300366;195.50;*;*;
2565;J1837-0219;18:37:37.5;-02:19:31.2;29.286;2.009;0.272349;3.671755;306.33;*;*;
2566;J1837-0559;18:37:23.6;-05:59:28.6;26.001;0.379;0.201065;4.973520;318.17;*;*;
2567;J1837-0604;18:37:43.3;-06:05:30.7;25.949;0.260;0.096324;10.381640;459.83;*;GRS:4FGL_J1837.8-0604[saa+23];
2568;J1837-0653;18:37:14.6;-06:53:02.1;25.191;0.002;1.905809;0.524711;316.10;*;*;
2569;J1837-0822;18:37:39.6;-08:22:12.4;23.918;-0.772;1.099196;0.909756;506.00;BT;*;
2570;J1837-10;18:37:18;-10:13;22.236;-1.540;1.016605;0.983666;493.00;*;*;
2571;J1837-1243;18:37:09.4;-12:43:56;19.983;-2.662;1.876019;0.533044;300.00;*;*;
2572;J1837-1837;18:37:54.2;-18:37:11.5;14.807;-5.498;0.618361;1.617177;100.74;*;*;
2573;J1838+0022_P;18:38:23;+00:24;31.799;3.087;0.005087;196.575652;122.60;*;*;
2574;J1838+0027_P;18:38:06;+00:27;31.811;3.173;0.054136;18.471928;205.90;*;*;
2575;J1838+0028_P;18:38:31;+00:28;31.874;3.088;0.001870;534.759358;107.20;*;*;
2576;J1838+0044_P;18:38:10;+00:44;32.071;3.287;2.203170;0.453891;229.60;*;*;
2577;J1838+0226_P;18:38:43;+02:26;33.651;3.939;2.122584;0.471124;252.90;*;*;
2578;J1838+0228_P;18:38:21;+02:28;33.639;4.035;0.653164;1.531009;148.10;*;*;
2579;J1838+1507_P;18:38:36;+15:07;45.078;9.614;0.003820;261.780105;54.80;*;*;
2580;J1838+1523;18:38:46.7;+15:23:25.4;45.347;9.694;0.549161;1.820961;68.26;*;*;
2581;J1838+1650;18:38:43.0;+16:50:16.0;46.667;10.331;1.901967;0.525771;32.95;*;*;
2582;J1838+50;18:38;+50:51;79.823;22.739;2.577223;0.388014;21.81;*;*;
2583;J1838-0014_P;18:38:11;-00:14;31.212;2.842;0.360446;2.774341;282.80;*;*;
2584;J1838-01;18:38:30;-01:01;30.550;2.414;0.183295;5.455692;312.00;*;*;
2585;J1838-0107;18:38:39.4;-01:07:48.6;30.467;2.327;0.444426;2.250095;270.10;*;*;
2586;J1838-0156_P;18:38:06;-01:56;29.689;2.083;0.005510;181.488203;163.40;*;*;
2587;J1838-0453;18:38:11.4;-04:53:25.3;27.070;0.708;0.380866;2.625598;617.20;*;*;
2588;J1838-0537;18:38:56.0;-05:37:09;26.508;0.209;0.145754;6.860852;*;*;GRS:4FGL_J1838.9-0537[aab+22];
2589;J1838-0549;18:38:38.0;-05:49:12.1;26.295;0.183;0.235311;4.249688;276.60;*;*;
2590;J1838-0624;18:38:51.7;-06:24:54;25.792;-0.140;0.927178;1.078542;424.00;*;*;
2591;J1838-0655;18:38:03.1;-06:55:33.4;25.246;-0.196;0.070498;14.184750;*;*;XRS:AX_J1838.0-0655,GRS:HESS_J1837-069;
2592;J1838-1046;18:38:26.4;-10:46:57;21.862;-2.049;1.218354;0.820780;209.30;*;*;
2593;J1838-1849;18:38:33.7;-18:49:59;14.686;-5.734;0.488242;2.048165;169.90;*;*;
2594;J1839+0050_P;18:39:04;+00:50;32.263;3.132;0.633310;1.579006;179.30;*;*;
2595;J1839+0100_P;18:39:27;+01:00;32.455;3.123;0.005369;186.254424;130.10;*;*;
2596;J1839+0221_P;18:39:18;+02:21;33.642;3.771;0.272770;3.666092;117.30;*;*;
2597;J1839+0543;18:39:00;+05:43;36.620;5.362;0.057928;17.262823;113.83;*;*;
2598;J1839-0141;18:39:06.9;-01:41:56.0;30.014;1.965;0.933266;1.071506;293.20;*;*;
2599;J1839-0223;18:39:58.0;-02:23:09.5;29.500;1.461;1.266790;0.789397;336.80;*;*;
2600;J1839-0321;18:39:37.5;-03:21:10.8;28.601;1.095;0.238782;4.187917;450.50;*;*;
2601;J1839-0332;18:39:56.5;-03:32:58.6;28.462;0.934;2.675682;0.373736;195.10;*;*;
2602;J1839-0402;18:39:51.0;-04:02:24.9;28.016;0.730;0.520940;1.919608;236.60;*;*;
2603;J1839-0436;18:39:00.0;-04:36:57.5;27.407;0.654;0.149461;6.690724;292.70;*;*;
2604;J1839-0459;18:39:42.6;-04:59:58.8;27.147;0.321;0.585319;1.708470;237.00;*;*;
2605;J1839-0627;18:39:20.4;-06:27:34;25.807;-0.266;0.484914;2.062223;92.49;*;*;
2606;J1839-0643;18:39:09.8;-06:43:45.2;25.547;-0.350;0.449548;2.224456;493.50;*;*;
2607;J1839-0905;18:39:53.4;-9:05:14.1;23.533;-1.591;0.418975;2.386778;344.50;*;*;
2608;J1839-1238;18:39:43.6;-12:38:40.4;20.347;-3.180;1.911431;0.523168;174.16;*;*;
2609;J1840+0012_P;18:40:49;+00:12;31.899;2.454;0.005340;187.265918;100.80;*;*;
2610;J1840+0151_P;18:40:58;+01:51;33.386;3.173;1.750410;0.571295;73.60;*;*;
2611;J1840+0214;18:40:34.0;+02:14:54.7;33.696;3.443;0.797478;1.253953;182.40;*;*;
2612;J1840+0351_P;18:40:39;+03:51;35.136;4.152;0.005159;193.836015;201.00;*;*;
2613;J1840+2843;18:40:29.5;+28:43:13.7;57.938;14.855;0.686102;1.457510;63.70;*;*;
2614;J1840+5640;18:40:44.5;+56:40:54.8;86.078;23.819;1.652862;0.605011;26.77;*;*;
2615;J1840-0049_P;18:40:02;-00:49;30.904;2.164;0.006760;147.928994;245.90;*;*;
2616;J1840-0138_P;18:40:32;-01:39;30.219;1.672;0.599892;1.666967;196.40;*;*;
2617;J1840-0141_P;18:40:54;-01:40;30.246;1.583;1.926816;0.518991;279.70;*;*;
2618;J1840-0144_P;18:40:53;-01:44;30.185;1.556;1.101686;0.907700;277.90;*;*;
2619;J1840-0245_P;18:40:14;-02:45;29.207;1.236;1.502500;0.665557;277.00;*;*;
2620;J1840-0445;18:40:45.5;-04:45:08;27.486;0.203;0.422316;2.367893;379.00;*;*;
2621;J1840-0559;18:40:23.1;-05:59:16.2;26.345;-0.281;0.859368;1.163645;319.10;*;*;
2622;J1840-0626;18:40:16.3;-06:26:15.4;25.933;-0.461;1.893353;0.528164;748.00;*;*;
2623;J1840-0643;18:40:08.9;-06:43:36.0;25.662;-0.567;0.035578;28.107357;494.00;BT;*;
2624;J1840-0753;18:40:47.6;-07:53:32;24.698;-1.242;0.437869;2.283788;691.00;*;*;
2625;J1840-0809;18:40:33.3;-08:09:03.5;24.441;-1.308;0.955674;1.046382;349.80;*;*;
2626;J1840-0815;18:40:13.7;-08:15:10.4;24.314;-1.283;1.096442;0.912041;233.80;*;*;
2627;J1840-0840;18:40:51.9;-08:40:29;24.010;-1.616;5.309377;0.188346;285.20;*;*;
2628;J1840-09;18:40:36;-09:37;23.142;-1.988;0.003089;323.718820;169.00;*;*;
2629;J1840-1122;18:40:24.0;-11:22:10.7;21.559;-2.745;0.940962;1.062743;311.00;*;*;
2630;J1840-1207;18:40:53.7;-12:07:32.6;20.940;-3.197;0.754470;1.325433;290.90;*;*;
2631;J1840-1419;18:40:33.0;-14:19:06.5;18.944;-4.119;6.597563;0.151571;19.40;*;*;
2632;J1841+0112_P;18:41:13;+01:12;32.835;2.821;0.178424;5.604627;152.60;*;*;
2633;J1841+0130;18:41:17.7;+01:30:16.9;33.116;2.942;0.029773;33.587732;125.88;ELL1;*;
2634;J1841+0217_P;18:41:05;+02:17;33.786;3.344;0.296724;3.370135;233.40;*;*;
2635;J1841+0235_P;18:41:52;+02:35;34.143;3.306;0.258630;3.866527;193.60;*;*;
2636;J1841+0912;18:41:55.9;+09:12:07.3;40.078;6.278;0.381320;2.622467;49.16;*;*;
2637;J1841-0053_P;18:41:26;-00:53;31.004;1.823;1.432890;0.697890;439.50;*;*;
2638;J1841-0123_P;18:41:08;-01:23;30.525;1.661;0.003790;263.852243;308.20;*;*;
2639;J1841-0157;18:41:56.1;-01:57:52.2;30.100;1.217;0.663332;1.507540;475.00;*;*;
2640;J1841-0238_P;18:41:15;-02:38;29.427;1.063;0.884038;1.131173;165.90;*;*;
2641;J1841-0310;18:41:25.8;-03:10:21;28.968;0.776;1.657656;0.603261;216.00;*;*;
2642;J1841-0345;18:41:38.6;-03:48:43.4;28.423;0.437;0.204106;4.899413;196.64;*;*;
2643;J1841-0353_P;18:41:49;-03:53;28.380;0.366;0.778643;1.284286;966.50;*;*;
2644;J1841-04;18:41:10;-04:48;27.490;0.090;*;*;29.00;*;*;
2645;J1841-0425;18:41:05.6;-04:25:19.5;27.818;0.279;0.186149;5.372045;325.49;*;*;
2646;J1841-0456;18:41:19.3;-04:56:11.1;27.387;-0.007;11.788978;0.084825;*;*;SNR:Kes73,XRS:1E_1841-045;
2647;J1841-05;18:41:00;-05:19;27.012;-0.109;1.088510;0.918687;274.00;*;*;
2648;J1841-0500;18:41:18.1;-05:00:19.5;27.323;-0.034;0.912916;1.095391;532.00;*;*;
2649;J1841-0524;18:41:49.3;-05:24:29.5;27.024;-0.333;0.445810;2.243110;284.50;*;GRS:[sbc+19];
2650;J1841-1404;18:41:34.3;-14:04:19;19.277;-4.227;1.334557;0.749312;267.00;*;*;
2651;J1841-7845;18:41:25.9;-78:45:15;315.460;-26.082;0.353603;2.828034;41.00;*;*;
2652;J1842+0114_P;18:42:13;+01:14;32.979;2.614;4.140370;0.241524;307.00;*;*;
2653;J1842+0131_P;18:42:53;+01:31;33.307;2.595;1.590265;0.628826;115.40;*;*;
2654;J1842+0257;18:42:30.9;+02:57:58.8;34.558;3.336;3.088256;0.323807;148.10;*;*;
2655;J1842+0357_P;18:42:35;+03:57;35.444;3.767;0.672526;1.486931;194.10;*;*;
2656;J1842+0358;18:42:17.0;+03:58:35.3;35.434;3.846;0.233326;4.285845;106.70;*;*;
2657;J1842+0407_P;18:42:11;+04:07;35.548;3.932;0.003939;253.871541;101.70;*;*;
2658;J1842+0638;18:42:10.0;+06:38:15.0;37.801;5.075;0.313016;3.194721;214.40;*;*;
2659;J1842+1332;18:42:29.9;+13:32:02.3;44.054;8.074;0.471604;2.120424;102.50;*;*;
2660;J1842-0138_P;18:42:31;-01:38;30.461;1.239;0.002708;369.276219;209.90;*;*;
2661;J1842-0148_P;18:42:31;-01:48;30.313;1.163;0.428940;2.331328;450.90;*;*;
2662;J1842-0153;18:42:57.8;-01:53:26.7;30.283;1.022;1.054228;0.948561;426.80;*;*;
2663;J1842-0258_P;18:42:00;-02:58;29.216;0.744;0.596298;1.677014;355.70;*;*;
2664;J1842-0309;18:42:19.0;-03:09:46;29.078;0.584;0.404920;2.469626;955.00;*;*;
2665;J1842-0359;18:42:26.4;-04:00:00.0;28.347;0.174;1.839945;0.543495;195.98;*;*;
