#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
2336;J1819-37;18:19;-37;356.342;-10.029;0.632000;*;1.582278;*;68.20;*;9.000;*;2.712;-0.472;-0.170;5.835;*;2020;*;*;*;*;*;
2337;J1820+0006_P;18:20:27.7;+00:06;29.473;6.934;2.404950;*;0.415809;*;187.90;*;*;*;17.490;2.111;8.542;-6.615;*;2025;*;*;*;*;*;
2338;J1820+0058_P;18:20:18.7;+00:58;30.232;7.364;0.033620;*;29.744200;*;86.10;*;*;*;3.966;0.508;1.980;5.102;*;2025;*;*;*;*;*;
2339;J1820-0427;18:20:52.5;-04:27:37.7;25.457;4.733;0.598083;6.33e-15;1.672009;-1.768e-14;84.47;67.52;9.300;*;2.700;0.223;1.157;6.070;*;1969;*;*;1.50e+06;1.97e+12;1.17e+33;
2340;J1820-0509;18:20:22.7;-05:09:38.1;24.777;4.516;0.337321;9.32e-16;2.964537;-8.193e-15;102.11;79.30;8.200;*;3.291;0.259;1.375;5.521;*;2006;*;*;5.73e+06;5.67e+11;9.59e+32;
2341;J1820-1346;18:20:19.7;-13:46:15.3;17.161;0.483;0.921460;4.50e-15;1.085235;-5.294e-15;771.00;893.00;37.000;*;5.837;0.049;1.722;2.923;*;1986;*;*;3.25e+06;2.06e+12;2.27e+32;
2342;J1820-1529;18:20:41.3;-15:29:42.2;15.681;-0.406;0.333254;3.79e-14;3.000717;-3.413e-13;768.50;849.00;32.200;*;5.195;-0.037;1.404;3.498;*;2004;*;*;1.39e+05;3.60e+12;4.04e+34;
2343;J1820-1818;18:20:39.0;-18:18:03.3;13.202;-1.720;0.309905;9.36e-17;3.226799;-9.747e-16;436.38;-86.50;15.000;*;14.053;-0.422;3.208;-5.175;*;1992;*;*;5.25e+07;1.72e+11;1.24e+32;
2344;J1820-19;18:20:36;-19:46;11.901;-2.399;0.004491;*;222.677347;*;142.00;*;0.600;*;3.214;-0.135;0.662;5.358;*;2024;*;*;*;*;*;
2345;J1820-20;18:20:48;-20:55;10.907;-2.980;0.002700;*;370.397553;*;274.00;*;0.500;*;9.780;-0.508;1.848;-1.090;*;2024;*;*;*;*;*;
2346;J1821+0007_P;18:21:02.9;+00:07;29.556;6.811;0.004220;*;236.966825;*;55.20;*;*;*;1.863;0.221;0.912;6.891;*;2025;*;*;*;*;*;
2347;J1821+0017_P;18:21:26.4;+00:17;29.750;6.800;0.007560;*;132.275132;*;192.00;*;*;*;17.771;2.104;8.756;-6.820;*;2025;*;*;*;*;*;
2348;J1821+0044_P;18:21:31.7;+00:44;30.163;6.987;0.002710;*;369.003690;*;126.90;*;*;*;7.227;0.879;3.604;2.298;*;2025;*;*;*;*;*;
2349;J1821+0155;18:21:38.8;+01:55:21.9;31.244;7.504;0.033781;2.90e-20;29.602148;-2.541e-17;51.75;110.30;0.500;*;1.722;0.225;0.886;7.040;*;2013;*;*;1.85e+10;1.00e+09;2.97e+31;
2350;J1821+1715;18:21:13.5;+17:15:47.0;45.259;14.302;1.366682;8.71e-16;0.731699;-4.665e-16;60.28;109.36;45.000;*;4.140;1.023;2.849;5.676;*;1996;*;*;2.48e+07;1.10e+12;1.35e+31;
2351;J1821+4147;18:21:52.3;+41:47:02.5;69.537;22.905;1.261857;1.73e-15;0.792483;-1.086e-15;40.67;35.90;49.000;*;4.427;1.723;3.821;7.074;*;2014;*;*;1.16e+07;1.49e+12;3.40e+31;
2352;J1821-0013_P;18:21:26.1;-00:13;29.302;6.572;2.217590;*;0.450940;*;112.10;*;*;*;5.178;0.593;2.518;4.014;*;2025;*;*;*;*;*;
2353;J1821-0031_P;18:21:00.3;-00:31;28.984;6.530;4.440880;*;0.225181;*;111.10;*;*;*;5.019;0.571;2.416;4.138;*;2025;*;*;*;*;*;
2354;J1821-0256;18:21:10.3;-02:56:38.6;26.839;5.372;0.414111;3.72e-17;2.414811;-2.170e-16;84.00;76.00;9.900;*;3.160;0.296;1.420;5.693;*;2006;*;*;1.76e+08;1.26e+11;2.07e+31;
2355;J1821-0331;18:21:44.7;-03:31:12.7;26.393;4.978;0.902316;2.53e-15;1.108260;-3.107e-15;171.50;*;16.000;*;7.555;0.656;3.346;1.758;*;2013;*;*;5.65e+06;1.53e+12;1.36e+32;
2356;J1821-1419;18:21:34.3;-14:19:26;16.815;-0.043;1.656010;8.95e-13;0.603861;-3.262e-13;1123.00;*;99.000;*;6.129;-0.005;1.773;2.633;*;2004;*;*;2.93e+04;3.89e+13;7.78e+33;
2357;J1821-1432;18:21:39.7;-14:32:53.2;16.628;-0.168;1.915131;5.37e-15;0.522158;-1.465e-15;570.00;*;39.000;*;4.540;-0.013;1.299;4.150;*;2009;*;*;5.65e+06;3.25e+12;3.02e+31;
2358;J1822+0044_P;18:22:54.6;+00:44;30.323;6.680;0.998890;*;1.001111;*;54.00;*;*;*;1.775;0.206;0.890;6.978;*;2025;*;*;*;*;*;
2359;J1822+02;18:22;+02;31.353;7.461;1.508000;*;0.663130;*;103.80;*;62.000;*;5.411;0.703;2.792;3.918;*;2020;*;*;*;*;*;
2360;J1822+0207_P;18:22:00.5;+02:07;31.459;7.512;0.009900;*;101.010101;*;145.30;*;*;*;10.718;1.401;5.546;-0.564;*;2025;*;*;*;*;*;
2361;J1822+0705;18:22:18.4;+07:05:19.0;35.983;9.685;1.362817;1.75e-15;0.733774;-9.408e-16;62.20;155.40;6.800;*;2.872;0.483;1.663;6.209;*;1995;*;*;1.24e+07;1.56e+12;2.73e+31;
2362;J1822+1120;18:22:14.6;+11:20:56.2;39.870;11.571;1.787037;2.35e-15;0.559586;-7.346e-16;95.20;108.90;24.000;*;7.776;1.560;4.883;2.653;*;2005;*;*;1.21e+07;2.07e+12;1.62e+31;
2363;J1822+2617;18:22:44.8;+26:17:26.8;54.027;17.554;0.591418;7.98e-16;1.690853;-2.282e-15;64.70;120.00;2.300;*;7.861;2.371;6.066;4.097;*;2021;*;*;1.17e+07;6.95e+11;1.52e+32;
2364;J1822-0719;18:22:28.0;-07:19:55.0;23.096;3.043;0.499076;1.90e-17;2.003705;-7.628e-17;199.00;*;10.100;*;4.611;0.245;1.806;4.265;*;2020;*;*;4.16e+08;9.85e+10;6.03e+30;
2365;J1822-0848;18:22:51.8;-08:48:59.0;21.828;2.262;0.834839;1.35e-16;1.197835;-1.937e-16;186.30;*;18.000;BT;3.826;0.151;1.421;4.951;*;2004;*;*;9.80e+07;3.40e+11;9.16e+30;
2366;J1822-0902;18:22:35.7;-09:02:59.1;21.590;2.212;0.148895;1.78e-14;6.716164;-8.020e-13;448.10;*;5.250;*;15.672;0.605;5.763;-6.062;*;2020;*;*;1.33e+05;1.65e+12;2.13e+35;
2367;J1822-0907;18:22:39.8;-09:07:36;21.530;2.161;0.974700;3.55e-16;1.025956;-3.740e-16;467.00;*;28.000;*;16.079;0.606;5.897;-6.446;*;2004;*;*;4.35e+07;5.96e+11;1.51e+31;
2368;J1822-1252;18:22:41.7;-12:52:49;18.218;0.394;2.071040;8.48e-14;0.482849;-1.976e-14;925.00;*;105.000;*;6.405;0.044;2.002;2.416;*;2004;*;*;3.87e+05;1.34e+13;3.77e+32;
2369;J1822-1400;18:22:54.0;-14:00:02.4;17.252;-0.176;0.214771;9.07e-16;4.656120;-1.966e-14;649.27;897.00;7.100;*;4.754;-0.015;1.410;3.960;*;1986;*;*;3.75e+06;4.47e+11;3.61e+33;
2370;J1822-1604;18:22:18.0;-16:04:26.8;15.353;-1.021;8.437721;2.14e-14;0.118515;-3.000e-16;*;*;*;*;*;-0.000;0.000;8.500;XRS:SGR_J1822-1606;2011;AXP,NRAD;1;6.26e+06;1.36e+13;1.40e+30;
2371;J1822-1617;18:22:36.6;-16:17:35;15.194;-1.189;0.831156;1.89e-15;1.203144;-2.729e-15;647.00;*;115.000;*;14.878;-0.309;3.899;-5.855;*;2004;*;*;6.99e+06;1.27e+12;1.30e+32;
2372;J1822-2256;18:22:58.9;-22:56:31;9.349;-4.373;1.874269;1.35e-15;0.533541;-3.856e-16;121.20;124.00;43.700;*;3.261;-0.249;0.528;5.292;*;1972;*;*;2.19e+07;1.61e+12;8.12e+30;
2373;J1822-4209;18:22:11.3;-42:09:10.9;351.883;-12.829;0.456512;4.56e-16;2.190521;-2.190e-15;72.51;48.30;8.000;*;3.637;-0.808;-0.501;4.989;*;1996;*;*;1.59e+07;4.62e+11;1.89e+32;
2374;J1823+0048_P;18:23:46.1;+00:48;30.481;6.520;0.917950;*;1.089384;*;71.70;*;*;*;2.981;0.338;1.502;5.948;*;2025;*;*;*;*;*;
2375;J1823+0550;18:23:30.9;+05:50:24.2;34.987;8.859;0.752907;2.27e-16;1.328186;-4.000e-16;66.78;141.42;46.000;*;2.000;0.308;1.133;6.881;*;1978;*;*;5.26e+07;4.18e+11;2.10e+31;
2376;J1823-0154;18:23:52.1;-01:54:04.6;28.081;5.256;0.759778;1.13e-15;1.316173;-1.960e-15;135.79;107.30;5.100;*;5.263;0.482;2.467;3.876;*;1996;*;*;1.06e+07;9.38e+11;1.02e+32;
2377;J1823-11;18:23:48;-11:48;19.298;0.662;0.286184;*;3.494251;*;725.00;*;83.000;*;7.038;0.081;2.326;1.858;*;2024;*;*;*;*;*;
2378;J1823-1115;18:23:40.3;-11:15:11;19.767;0.946;0.279829;1.38e-15;3.573615;-1.761e-14;428.59;-354.00;26.000;BT;5.352;0.088;1.810;3.464;*;1986;*;*;3.22e+06;6.29e+11;2.48e+33;
2379;J1823-1126;18:23:19.8;-11:26:04;19.568;0.935;1.846534;3.65e-14;0.541555;-1.071e-14;607.00;*;23.000;*;9.272;0.151;3.105;-0.235;*;2004;*;*;8.01e+05;8.31e+12;2.29e+32;
2380;J1823-1347;18:23:24.2;-13:47:54;17.488;-0.189;0.617107;9.60e-15;1.620464;-2.521e-14;1044.00;*;34.600;*;5.873;-0.019;1.765;2.898;*;2002;*;*;1.02e+06;2.46e+12;1.61e+33;
2381;J1823-1526;18:23:21.4;-15:26:22;16.033;-0.948;1.625405;4.52e-15;0.615231;-1.709e-15;611.00;242.00;41.000;*;8.153;-0.135;2.251;0.665;*;2004;*;*;5.70e+06;2.74e+12;4.15e+31;
2382;J1823-1807;18:23:09.6;-18:07:33;13.636;-2.164;1.636792;2.79e-16;0.610951;-1.040e-16;330.00;*;34.600;*;10.149;-0.383;2.391;-1.356;*;2002;*;*;9.31e+07;6.83e+11;2.51e+30;
2383;J1823-3021A;18:23:40.4;-30:21:40.1;2.788;-7.913;0.005440;3.38e-18;183.823389;-1.140e-13;86.88;*;0.340;*;8.020;-1.104;0.386;0.566;GRS:4FGL_J1823.5-3020[aab+22],GC:NGC6624;1994;HE[faa+11];*;2.55e+07;4.34e+09;8.28e+35;
2384;J1823-3021B;18:23:41.5;-30:21:40.9;2.790;-7.917;0.378596;2.99e-17;2.641335;-2.086e-16;87.01;*;6.000;*;8.020;-1.105;0.387;0.566;GC:NGC6624;1994;*;*;2.01e+08;1.08e+11;2.18e+31;
2385;J1823-3021C;18:23:41.1;-30:21:38.4;2.790;-7.915;0.405936;2.24e-16;2.463443;-1.359e-15;86.90;*;*;*;8.020;-1.104;0.387;0.566;GC:NGC6624;2003;*;*;2.87e+07;3.05e+11;1.32e+32;
2386;J1823-3021D;18:23:40.5;-30:21:43.6;2.787;-7.914;0.003020;*;331.119221;*;86.80;*;*;*;8.020;-1.104;0.386;0.566;GC:NGC6624;2012;*;*;*;*;*;
2387;J1823-3021E;18:23:38.9;-30:22:22.3;2.775;-7.914;0.004394;*;227.583068;*;91.40;*;*;*;8.020;-1.104;0.385;0.566;GC:NGC6624;2008;*;*;*;*;*;
2388;J1823-3021F;18:23:40.6;-30:21:39.9;2.789;-7.914;0.004850;*;206.185567;*;86.70;*;*;*;8.020;-1.104;0.386;0.566;GC:NGC6624;2008;*;*;*;*;*;
2389;J1823-3021G;18:23:40.7;-30:21:35.6;2.790;-7.914;0.006091;-1.78e-20;164.168746;4.800e-16;86.21;*;*;DD;8.020;-1.104;0.387;0.566;GC:NGC6624;2021;*;*;*;*;*;
2390;J1823-3021H;18:23:40.4;-30:21:39.9;2.788;-7.913;0.005130;*;194.931774;*;86.85;*;*;*;8.020;-1.104;0.386;0.566;GC:NGC6624;2021;*;*;*;*;*;
2391;J1823-3106;18:23:46.7;-31:06:49.7;2.120;-8.273;0.284057;2.93e-15;3.520424;-3.628e-14;50.29;90.01;4.400;*;1.586;-0.228;0.058;6.932;*;1978;*;*;1.54e+06;9.23e+11;5.04e+33;
2392;J1823-3543;18:23:42.9;-35:43:40.8;357.928;-10.317;0.002373;2.12e-20;421.352599;-3.760e-15;81.69;*;*;ELL1;3.711;-0.665;-0.132;4.851;GRS:4FGL_J1823.8-3544[aab+22];2023;NRAD[aab+22];*;1.78e+09;2.27e+08;6.25e+34;
2393;J1824+1014;18:24:14.9;+10:14:43.8;39.076;10.647;0.004066;5.37e-21;245.947030;-3.250e-16;59.88;*;*;DD;2.904;0.537;1.799;6.284;GRS:4FGL_J1824.1+1013[aab+22];2016;HE[drc+21];*;1.20e+10;1.50e+08;3.16e+33;
2394;J1824-0117_P;18:24:58.5;-01:17;28.759;5.296;1.374450;*;0.727564;*;200.30;*;*;*;12.241;1.130;5.864;-2.185;*;2025;*;*;*;*;*;
2395;J1824-0127;18:24:53.4;-01:27:51.0;28.588;5.231;2.499470;3.91e-15;0.400085;-6.253e-16;63.00;74.30;11.800;*;2.214;0.202;1.055;6.564;*;2006;*;*;1.01e+07;3.16e+12;9.88e+30;
2396;J1824-0132;18:24:55.5;-01:32:24.0;28.525;5.188;0.223729;2.82e-17;4.469703;-5.634e-16;79.00;57.00;8.000;*;3.176;0.287;1.510;5.721;*;2019;*;*;1.26e+08;8.04e+10;9.94e+31;
2397;J1824-0621;18:24:15.8;-06:21:56.7;24.160;3.100;0.003233;9.14e-21;309.308685;-8.749e-16;131.03;81.00;*;ELL1;3.534;0.191;1.444;5.280;*;2023;*;*;5.60e+09;1.74e+08;1.07e+34;
2398;J1824-1118;18:24:29.5;-11:18:42.6;19.809;0.741;0.435759;3.55e-15;2.294846;-1.872e-14;601.31;213.00;15.000;*;5.978;0.077;2.026;2.876;*;1986;*;1;1.94e+06;1.26e+12;1.70e+33;
2399;J1824-1159;18:24:56.1;-11:59:53.4;19.253;0.324;0.362492;5.38e-15;2.758681;-4.094e-14;462.96;407.00;11.000;*;4.457;0.025;1.470;4.292;*;2002;*;*;1.07e+06;1.41e+12;4.46e+33;
2400;J1824-1350;18:24:50.1;-13:50:21.0;17.614;-0.515;1.396599;6.07e-16;0.716025;-3.112e-16;551.00;*;29.000;*;4.693;-0.042;1.420;4.027;*;2015;*;*;3.65e+07;9.32e+11;8.80e+30;
2401;J1824-1423;18:24:57.3;-14:23:05.3;17.146;-0.796;0.359394;3.92e-16;2.782460;-3.037e-15;427.63;-306.00;11.000;*;4.548;-0.063;1.341;4.155;*;2002;*;*;1.45e+07;3.80e+11;3.34e+32;
2402;J1824-1500;18:24:14.1;-15:00:33;16.512;-0.934;0.412230;7.58e-16;2.425830;-4.460e-15;571.00;*;18.000;*;6.073;-0.099;1.726;2.678;*;2004;*;*;8.62e+06;5.66e+11;4.27e+32;
2403;J1824-1945;18:24:00.4;-19:46:03.3;12.276;-3.108;0.189337;5.24e-15;5.281576;-1.460e-13;224.26;-297.36;1.700;*;3.700;-0.201;0.786;4.890;*;1978;*;*;5.73e+05;1.01e+12;3.05e+34;
2404;J1824-2233;18:24:10.3;-22:33:11;9.822;-4.435;1.161743;3.01e-16;0.860775;-2.228e-16;156.50;*;13.000;*;4.597;-0.356;0.782;3.984;*;2006;*;*;6.12e+07;5.98e+11;7.57e+30;
2405;J1824-2328;18:24:28.6;-23:28:17;9.037;-4.922;1.505875;1.74e-15;0.664066;-7.672e-16;195.40;*;35.000;*;8.965;-0.769;1.403;-0.321;*;2006;*;*;1.37e+07;1.64e+12;2.01e+31;
2406;J1824-2452A;18:24:32.0;-24:52:10.8;7.797;-5.578;0.003054;1.62e-18;327.405573;-1.735e-13;119.91;82.20;0.972;*;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),GRS:4FGL_J1824.6-2452[aa;1987;HE[skk+97],HE[bvs+11];1;2.99e+07;2.25e+09;2.24e+36;
2407;J1824-2452B;18:24:32.8;-24:52:11.2;7.798;-5.580;0.006547;*;152.741714;*;119.50;*;*;*;5.370;-0.522;0.725;3.205;GC:M28(NGC6626);2008;*;*;*;*;*;
2408;J1824-2452C;18:24:32.8;-24:52:11.2;7.798;-5.580;0.004159;*;240.442414;*;120.70;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:[bvs+11];2008;*;*;*;*;*;
2409;J1824-2452D;18:24:32.8;-24:52:11.2;7.798;-5.580;0.079832;*;12.526305;*;119.50;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:[bvs+11];2008;*;*;*;*;*;
2410;J1824-2452E;18:24:32.8;-24:52:11.2;7.798;-5.580;0.005420;*;184.501845;*;119.80;*;*;*;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:(?)[bvs+11];2008;*;*;*;*;*;
2411;J1824-2452F;18:24:32.8;-24:52:11.2;7.798;-5.580;0.002451;*;407.996736;*;123.80;*;*;*;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:[bvs+11];2008;*;*;*;*;*;
2412;J1824-2452G;18:24:32.8;-24:52:11.2;7.798;-5.580;0.005909;*;169.233373;*;119.40;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:(?)[bvs+11];2008;*;*;*;*;*;
2413;J1824-2452H;18:24:32.8;-24:52:11.2;7.798;-5.580;0.004629;*;216.029380;*;121.50;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),OPT:COM-M28H[pdf+10],XRS;2008;*;*;*;*;*;
2414;J1824-2452I;18:24:32.5;-24:52:08.6;7.798;-5.579;0.003932;0.00e+00;254.333031;-0.000e+00;119.00;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:IGR_J18245-2452[pfb+;2008;HE;*;*;*;*;
2415;J1824-2452J;18:24:32.8;-24:52:11.2;7.798;-5.580;0.004039;*;247.586036;*;119.20;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:[bvs+11];2008;*;*;*;*;*;
2416;J1824-2452K;18:24:32.8;-24:52:11.2;7.798;-5.580;0.004461;*;224.164985;*;119.80;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626),XRS:[bvs+11];2008;*;*;*;*;*;
2417;J1824-2452L;18:24:32.8;-24:52:11.2;7.798;-5.580;0.004100;*;243.902439;*;119.00;*;*;BT;5.370;-0.522;0.725;3.205;GC:M28(NGC6626);2008;*;*;*;*;*;
2418;J1824-2452M;18:24:33.1;-24:52:08.2;7.800;-5.581;0.004784;1.23e-19;209.017679;-5.366e-15;119.35;*;*;ELL1;5.370;-0.522;0.725;3.205;GC:M28(NGC6626)[dpr+22];2022;*;*;6.17e+08;7.76e+08;4.43e+34;
2419;J1824-2452N;18:24:33.1;-24:52:11.8;7.799;-5.582;0.003353;1.59e-19;298.251729;-1.416e-14;119.32;*;*;ELL1;5.370;-0.522;0.725;3.205;GC:M28(NGC6626)[dpr+22];2022;*;*;3.34e+08;7.39e+08;1.67e+35;
2420;J1824-2537;18:24:30.5;-25:37:19;7.123;-5.918;0.223320;4.40e-16;4.477874;-8.826e-15;158.50;*;5.800;*;7.301;-0.753;0.900;1.294;*;2001;*;*;8.04e+06;3.17e+11;1.56e+33;
2421;J1825+0004;18:25:15.3;+00:04:19.7;30.001;5.856;0.778950;8.76e-16;1.283779;-1.444e-15;56.62;20.10;8.400;*;1.861;0.190;0.926;6.897;*;1985;*;*;1.41e+07;8.36e+11;7.32e+31;
2422;J1825+0057_P;18:25:59.1;+00:57;30.870;6.095;0.006020;*;166.112957;*;128.90;*;*;*;6.248;0.663;3.188;3.167;*;2025;*;*;*;*;*;
2423;J1825-0208_P;18:25:43.2;-02:08;28.088;4.739;3.307350;*;0.302357;*;192.90;*;*;*;9.341;0.772;4.383;0.287;*;2025;*;*;*;*;*;
2424;J1825-0254_P;18:25:41.7;-02:54;27.403;4.391;0.096720;*;10.339123;*;146.50;*;*;*;4.733;0.362;2.172;4.310;*;2025;*;*;*;*;*;
2425;J1825-0319;18:25:55.9;-03:19:57.5;27.045;4.138;0.004554;6.80e-21;219.609941;-3.280e-16;119.56;179.90;0.149;BT;3.861;0.279;1.751;5.070;*;2013;*;*;1.06e+10;1.78e+08;2.84e+33;
2426;J1825-0935;18:25:30.5;-09:35:21.2;21.449;1.324;0.769021;5.24e-14;1.300355;-8.853e-14;19.38;67.91;11.000;*;0.300;0.007;0.110;8.221;XRS:[pb15];1972;*;14;2.33e+05;6.42e+12;4.54e+33;
2427;J1825-1108;18:25:18.3;-11:08:54;20.047;0.641;1.925872;1.90e-15;0.519245;-5.123e-16;121.00;*;42.100;*;2.750;0.031;0.943;5.917;*;2015;*;*;1.61e+07;1.94e+12;1.05e+31;
2428;J1825-1446;18:25:02.9;-14:46:53.7;16.805;-1.001;0.279206;2.27e-14;3.581581;-2.907e-13;352.23;-891.30;9.800;*;4.441;-0.078;1.284;4.249;*;1986;*;*;1.95e+05;2.55e+12;4.11e+34;
2429;J1825-31;18:25:58;-31:02:20;2.400;-8.658;2.382000;*;0.419815;*;93.30;*;47.000;*;3.967;-0.597;0.164;4.582;*;2012;*;*;*;*;*;
2430;J1825-33;18:26:02;-33:21;0.309;-9.697;1.271200;*;0.786658;*;43.00;*;*;*;1.238;-0.209;0.007;7.280;*;2010;RRAT;*;*;*;*;
2431;J1826-0049;18:26:16.5;-00:49:50.0;29.313;5.215;0.004591;*;217.824873;*;42.67;*;*;ELL1;1.298;0.118;0.633;7.373;*;2024;*;*;*;*;*;
2432;J1826-0132_P;18:26:05.1;-01:32;28.664;4.934;0.363250;*;2.752925;*;103.80;*;*;*;3.854;0.332;1.842;5.131;*;2025;*;*;*;*;*;
2433;J1826-1131;18:26:05.4;-11:31:43.6;19.800;0.293;2.093141;4.91e-15;0.477751;-1.121e-15;319.40;27.90;29.000;*;3.972;0.020;1.345;4.763;*;1986;*;*;6.75e+06;3.24e+12;2.11e+31;
2434;J1826-1256;18:26:08.5;-12:56:33.0;18.556;-0.377;0.110239;1.21e-13;9.071229;-9.952e-12;*;*;*;*;1.550;-0.010;0.493;7.031;GRS:4FGL_J1826.1-1256[aab+22],XRS:AXJ182;2009;NRAD;*;1.44e+04;3.69e+12;3.56e+36;
2435;J1826-1334;18:26:13.1;-13:34:46.8;18.001;-0.691;0.101487;7.53e-14;9.853499;-7.306e-12;231.73;16.70;5.900;*;3.608;-0.044;1.115;5.069;GRS:J1825-137[aab+06],XRS:G18.0-0.7[gsk+;1986;HE;8;2.14e+04;2.80e+12;2.84e+36;
2436;J1826-1419;18:26:42.3;-14:19:21.6;17.398;-1.142;0.770620;8.78e-15;1.297656;-1.479e-14;160.00;*;2.000;*;3.243;-0.065;0.970;5.406;*;2006;RRAT;*;1.39e+06;2.63e+12;7.58e+32;
2437;J1826-1526;18:26:12.6;-15:26:03;16.358;-1.553;0.382073;1.08e-15;2.617302;-7.430e-15;530.00;246.00;13.400;*;14.925;-0.405;4.202;-5.816;*;2002;*;*;5.58e+06;6.51e+11;7.68e+32;
2438;J1826-2415;18:26:36.0;-24:15:54.5;8.553;-5.718;0.004696;1.74e-20;212.958203;-7.873e-16;81.86;58.00;0.361;*;2.753;-0.274;0.407;5.791;*;2019;*;*;4.29e+09;2.89e+08;6.62e+33;
2439;J1827-0125_P;18:27:35.1;-01:25;28.941;4.655;0.337960;*;2.958930;*;98.00;*;*;*;3.658;0.297;1.764;5.309;*;2025;*;*;*;*;*;
2440;J1827-0216_P;18:27:42.7;-02:16;28.199;4.236;0.285480;*;3.502872;*;186.60;*;*;*;7.222;0.533;3.403;2.153;*;2025;*;*;*;*;*;
2441;J1827-0750;18:27:02.7;-07:50:19.2;23.176;1.803;0.270503;1.54e-15;3.696818;-2.111e-14;374.99;-399.30;9.500;*;9.819;0.309;3.862;-0.522;*;2006;*;*;2.77e+06;6.54e+11;3.08e+33;
2442;J1827-0849;18:27:36.4;-08:49:42;22.364;1.221;0.002242;1.10e-20;445.936892;-2.179e-15;*;*;*;*;*;0.000;0.000;8.500;GRS:4FGL_J1827.6-0849[aab+22];2018;NRAD[frm+18];*;3.24e+09;1.59e+08;3.84e+34;
2443;J1827-0934;18:27:45.8;-09:34:16.4;21.724;0.841;0.512548;7.23e-15;1.951037;-2.751e-14;259.20;-386.00;23.000;*;4.068;0.060;1.506;4.721;*;2002;*;*;1.12e+06;1.95e+12;2.12e+33;
2444;J1827-0958;18:27:05.4;-09:58:43.2;21.286;0.798;0.245757;1.00e-15;4.069058;-1.660e-14;430.00;-42.00;26.000;*;5.023;0.070;1.823;3.820;*;1986;*;1;3.88e+06;5.02e+11;2.67e+33;
2445;J1827-1446;18:27:24.6;-14:46:28;17.077;-1.503;0.499187;4.53e-14;2.003259;-1.819e-13;*;*;*;*;*;-0.000;0.000;8.500;GRS:4FGL_J1827.4-1445[aab+22];2017;NRAD[aab+22];*;1.74e+05;4.81e+12;1.44e+34;
2446;J1828+0020_P;18:28:21.6;+00:20;30.592;5.285;0.002940;*;340.136054;*;40.40;*;*;*;1.268;0.117;0.643;7.413;*;2025;*;*;*;*;*;
2447;J1828+0157_P;18:28:25.0;+01:57;32.044;6.011;1.903970;*;0.525218;*;32.10;*;*;*;1.133;0.119;0.598;7.545;*;2025;*;*;*;*;*;
2448;J1828+0218_P;18:28:55.8;+02:18;32.416;6.056;0.002970;*;336.700337;*;140.80;*;*;*;7.539;0.795;4.019;2.171;*;2025;*;*;*;*;*;
2449;J1828+0625;18:28:28.9;+06:25:09.7;36.069;8.014;0.003628;4.69e-21;275.667196;-3.563e-16;22.42;24.40;0.500;DDH;1.000;0.139;0.583;7.700;*;2013;*;*;1.23e+10;1.32e+08;3.88e+33;
2450;J1828+1221;18:28:22.1;+12:21:20.9;41.457;10.657;1.528295;1.75e-15;0.654324;-7.474e-16;69.10;83.00;28.400;*;3.849;0.712;2.504;5.665;*;2020;*;*;1.39e+07;1.65e+12;1.93e+31;
2451;J1828+1359;18:28:53.3;+13:59:35.3;43.017;11.250;0.741640;7.29e-16;1.348364;-1.325e-15;56.00;153.00;15.000;*;2.754;0.537;1.843;6.525;*;2003;*;*;1.61e+07;7.44e+11;7.05e+31;
2452;J1828-0003;18:28:44;-00:03;30.292;5.027;3.807116;*;0.262666;*;193.00;*;*;*;3.669;0.322;1.844;5.344;*;2023;RRAT[zhx+23];*;*;*;*;
2453;J1828-0038_P;18:28:15;-00:38;29.716;4.867;2.426000;*;0.412201;*;70.00;*;*;*;2.661;0.226;1.314;6.197;*;2023;RRAT[zhx+23];*;*;*;*;
2454;J1828-0611;18:28:20.7;-06:11:51.9;24.780;2.279;0.269416;1.46e-15;3.711737;-2.009e-14;363.35;487.10;9.500;*;12.118;0.482;5.075;-2.494;*;2004;*;*;2.93e+06;6.34e+11;2.94e+33;
2455;J1828-1007;18:28:30.3;-10:07:10.1;21.324;0.424;0.153197;6.13e-16;6.527544;-2.614e-14;302.60;*;8.700;*;4.014;0.030;1.460;4.761;*;2004;*;*;3.96e+06;3.10e+11;6.74e+33;
