#ATNF Pulsar Catalogue
#Catalogue Version: 2.7.0
#;PSRJ;RAJ;DECJ;Gl;Gb;P0;P1;F0;F1;DM;RM;W50;BINARY;DIST;ZZ;XX;YY;ASSOC;DISC.;PSR;NGLT;AGE;BSURF;EDOT;
;;(hms);(dms);(deg);(deg);(s);;(Hz);(s^-2);(cm^-3pc);(radm^-2);(ms);(type);(kpc);(kpc);(kpc);(kpc);;DATE;TYPE;;(Yr);(G);(ergs/s);
64;J0054-7228;00:54:54.2;-72:28:33.3;302.565;-44.650;0.290945;9.56e-15;3.437078;-1.129e-13;92.40;*;6.200;*;58.507;-41.117;-35.079;-13.904;EXGAL:SMC;2024;*;*;4.82e+05;1.69e+12;1.53e+34;
65;J0055+5117;00:55:45.3;+51:17:24.6;123.621;-11.576;2.115171;9.54e-15;0.472775;-2.132e-15;44.01;-64.09;73.000;*;2.800;-0.562;2.284;10.019;*;1985;*;*;3.51e+06;4.55e+12;3.98e+31;
66;J0056+4756;00:56:25.5;+47:56:10.5;123.796;-14.927;0.472037;3.33e-15;2.118480;-1.494e-14;18.14;-34.16;11.800;*;1.123;-0.289;0.902;9.104;*;1985;*;*;2.25e+06;1.27e+12;1.25e+33;
67;J0057-7201;00:57:44.0;-72:01:19;302.244;-45.098;0.738062;1.00e-16;1.354899;-1.836e-16;27.00;*;*;*;3.475;-2.461;-2.075;7.191;*;2001;*;*;1.17e+08;2.75e+11;9.82e+30;
68;J0058+4950;00:58:09.9;+49:50:26.0;124.045;-13.017;0.996023;8.04e-16;1.003992;-8.100e-16;66.95;-114.20;30.700;*;2.644;-0.596;2.135;9.942;*;2014;*;*;1.96e+07;9.05e+11;3.21e+31;
69;J0058+6125;00:58;+61:25;123.717;-1.445;0.637000;*;1.569859;*;128.30;-212.00;7.800;*;2.597;-0.065;2.159;9.941;*;2008;*;*;*;*;*;
70;J0058-7218;00:58:16.7;-72:18:06;302.199;-44.817;0.021766;2.89e-14;45.942987;-6.100e-11;*;*;*;*;59.700;-42.079;-35.836;-14.066;EXGAL:SMC,XRS:PWN_IKT_16[met+21],SNR:IKT;2021;NRAD[met+21];*;1.19e+04;8.03e+11;1.11e+38;
71;J0059+69;00:59:30;+69:55;123.629;7.056;1.145900;*;0.872676;*;63.53;*;12.000;*;2.048;0.252;1.692;9.626;*;2019;*;*;*;*;*;
72;J0100+8023;01:00:16.0;+80:23:41.7;123.318;17.530;1.493601;3.54e-16;0.669523;-1.588e-16;56.01;*;8.010;*;2.847;0.858;2.269;9.991;*;2019;*;*;6.68e+07;7.36e+11;4.20e+30;
73;J0100-7211;01:00:43.0;-72:11:33.6;301.930;-44.918;8.020392;1.88e-11;0.124682;-2.923e-13;*;*;*;*;59.700;-42.153;-35.878;-13.859;EXGAL:SMC,XRS:CXOU_J010043.1-721134,SNR:;2002;AXP,NRAD;*;6.76e+03;3.93e+14;1.44e+33;
